cause,effect
INCOME_STATEMENT_investmentIncomeNet,Close
BALANCE_SHEET_inventory,Close
BALANCE_SHEET_currentDebt,Close
BALANCE_SHEET_totalNonCurrentLiabilities,Close
UNRATE,Close
INCOME_STATEMENT_netInterestIncome,INCOME_STATEMENT_grossProfit
BALANCE_SHEET_inventory,INCOME_STATEMENT_grossProfit
CASH_FLOW_paymentsForOperatingActivities,INCOME_STATEMENT_grossProfit
CASH_FLOW_changeInOperatingLiabilities,INCOME_STATEMENT_grossProfit
BALANCE_SHEET_totalNonCurrentAssets,INCOME_STATEMENT_operatingIncome
CASH_FLOW_changeInOperatingLiabilities,INCOME_STATEMENT_operatingIncome
CASH_FLOW_changeInInventory,INCOME_STATEMENT_operatingIncome
INCOME_STATEMENT_netInterestIncome,INCOME_STATEMENT_operatingExpenses
BALANCE_SHEET_propertyPlantEquipment,INCOME_STATEMENT_operatingExpenses
CASH_FLOW_paymentsForOperatingActivities,INCOME_STATEMENT_operatingExpenses
INCOME_STATEMENT_totalRevenue,INCOME_STATEMENT_investmentIncomeNet
INCOME_STATEMENT_nonInterestIncome,INCOME_STATEMENT_investmentIncomeNet
CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,INCOME_STATEMENT_investmentIncomeNet
INCOME_STATEMENT_interestAndDebtExpense,INCOME_STATEMENT_netInterestIncome
CASH_FLOW_changeInOperatingAssets,INCOME_STATEMENT_netInterestIncome
BALANCE_SHEET_inventory,INCOME_STATEMENT_nonInterestIncome
BALANCE_SHEET_propertyPlantEquipment,INCOME_STATEMENT_nonInterestIncome
BALANCE_SHEET_otherNonCurrentAssets,INCOME_STATEMENT_nonInterestIncome
UNRATE,INCOME_STATEMENT_nonInterestIncome
BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,INCOME_STATEMENT_depreciationAndAmortization
BALANCE_SHEET_propertyPlantEquipment,INCOME_STATEMENT_depreciationAndAmortization
CASH_FLOW_depreciationDepletionAndAmortization,INCOME_STATEMENT_depreciationAndAmortization
CASH_FLOW_cashflowFromFinancing,BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue
CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue
BALANCE_SHEET_intangibleAssetsExcludingGoodwill,BALANCE_SHEET_inventory
CASH_FLOW_capitalExpenditures,BALANCE_SHEET_inventory
CASH_FLOW_changeInInventory,BALANCE_SHEET_inventory
BALANCE_SHEET_totalNonCurrentLiabilities,BALANCE_SHEET_totalNonCurrentAssets
BALANCE_SHEET_otherCurrentLiabilities,BALANCE_SHEET_totalNonCurrentAssets
CASH_FLOW_depreciationDepletionAndAmortization,BALANCE_SHEET_totalNonCurrentAssets
CASH_FLOW_cashflowFromInvestment,BALANCE_SHEET_totalNonCurrentAssets
BALANCE_SHEET_shortTermInvestments,BALANCE_SHEET_propertyPlantEquipment
CASH_FLOW_paymentsForRepurchaseOfCommonStock,BALANCE_SHEET_propertyPlantEquipment
CASH_FLOW_paymentsForOperatingActivities,BALANCE_SHEET_shortTermInvestments
CASH_FLOW_depreciationDepletionAndAmortization,BALANCE_SHEET_shortTermInvestments
CASH_FLOW_changeInInventory,BALANCE_SHEET_shortTermInvestments
CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,BALANCE_SHEET_shortTermInvestments
INCOME_STATEMENT_interestAndDebtExpense,BALANCE_SHEET_otherNonCurrentAssets
INCOME_STATEMENT_totalRevenue,BALANCE_SHEET_otherCurrentLiabilities
CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_operatingCashflow
CASH_FLOW_changeInOperatingAssets,CASH_FLOW_operatingCashflow
CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_paymentsForOperatingActivities
CASH_FLOW_capitalExpenditures,CASH_FLOW_paymentsForOperatingActivities
BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,CASH_FLOW_depreciationDepletionAndAmortization
CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_depreciationDepletionAndAmortization
CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_capitalExpenditures
CASH_FLOW_changeInOperatingAssets,CASH_FLOW_changeInInventory
CASH_FLOW_cashflowFromFinancing,CASH_FLOW_changeInInventory
CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_changeInInventory
INCOME_STATEMENT_interestAndDebtExpense,CASH_FLOW_cashflowFromFinancing
CASH_FLOW_cashflowFromInvestment,CASH_FLOW_cashflowFromFinancing
CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_cashflowFromFinancing
CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt
CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt
BALANCE_SHEET_otherCurrentLiabilities,CASH_FLOW_paymentsForRepurchaseOfCommonStock
