M2SL,M1SL,FEDFUNDS,PPIACO,RTWEXBGS,CPIAUCSL,UNRATE,INCOME_STATEMENT_interestAndDebtExpense,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,CASH_FLOW_changeInOperatingAssets,CASH_FLOW_depreciationDepletionAndAmortization,CASH_FLOW_changeInReceivables,BALANCE_SHEET_currentDebt,Quarterly_Return,fiscalDateEnding
0.6619072690048585,0.3998479120310202,1.364391301906272,0.6909983302505033,0.8351039936157432,1.3845500789549057,-0.2446503208285047,142000000,44000000,-163000000,470000000,57000000,2154000000,0.0971994814567041,2024-09-30
0.5966258233264383,0.3912754589941218,1.364391301906272,0.8048214664209892,1.188565304616945,1.309194797030088,-0.3830958512198291,140000000,-43000000,428000000,471000000,325000000,1615000000,-0.0857821545473884,2024-06-30
0.5276370362885041,0.3845170269182154,1.364391301906272,0.775978289278778,0.7098083368056521,1.264332117558572,-0.4753928714807119,141000000,-127000000,561000000,805000000,151000000,2010000000,0.0326156443830181,2024-03-31
0.4985021688653562,0.3995750062227294,1.364391301906272,0.5918256967554273,0.472754714840818,1.116600716017594,-0.3830958512198291,159000000,111000000,179000000,813000000,-68000000,1080000000,0.1364997566234917,2023-12-31
0.5328756708182539,0.4499502077766368,1.364391301906272,0.9111784810357392,0.8632903728981444,1.0569736586340626,-0.5676898917415949,166000000,-61000000,321000000,496000000,461000000,1051000000,-0.1116308800557928,2023-09-30
0.5106316226611624,0.492555620435678,1.2370489751680738,0.7324846094611578,0.4440745595709862,0.91349194450396,-0.6138384018720363,159000000,13000000,444000000,498000000,196000000,2284000000,0.0766343506135431,2023-06-30
0.7003910842041741,0.6379502031232946,1.005946234050604,0.8452512189963979,0.6668292518998596,0.8058916117089889,-0.5676898917415949,153000000,-42000000,186000000,806000000,-233000000,2285000000,-0.0776937672662896,2023-03-31
0.7992400880616843,0.732552198903147,0.6333520187795804,0.8746578770107399,0.9267200132832824,0.6816868301643071,-0.5215413816111534,154000000,10000000,-77000000,807000000,-341000000,2251000000,0.1346630683301526,2022-12-31
0.8844283449531527,0.8021913398658146,-0.0505234396292597,1.2268686396471984,1.6344655952647411,0.5771094708884136,-0.5676898917415949,141000000,24000000,-336000000,498000000,-530000000,1117000000,-0.1094339551096663,2022-09-30
0.9160616380751032,0.8292250681694414,-0.7862791052277361,1.6619110904869283,0.7504419857711584,0.5180081480299389,-0.4753928714807119,132000000,5000000,664000000,507000000,188000000,5000000,-0.0820378424670544,2022-06-30
0.8525129715103692,0.7966047974372742,-1.1117094957809084,0.9492134399045892,-0.1095511923342172,0.1848238927751541,-0.3369473410893877,131000000,8000000,1305000000,823000000,751000000,4000000,-0.1590166548906342,2022-03-31
0.6862064737851605,0.7253442749077025,-1.1117094957809084,0.2914903919095403,-0.2522113047022229,-0.1070025798418238,-0.1062047904371804,131000000,-197000000,486000000,883000000,189000000,754000000,0.1913993800511333,2021-12-31
0.4765804982177888,0.6349482392320961,-1.106993113309123,0.0921590333931571,-0.9162577117962186,-0.4077227281743458,0.3091318007367926,133000000,-27000000,323000000,520000000,394000000,951000000,0.018976942486423,2021-09-30
0.2749333660111127,0.546687290174294,-1.1211422607244783,-0.1465455510633877,-1.322162147462269,-0.5493205602563276,0.6321713716498824,134000000,-4000000,-30000000,504000000,-35000000,954000000,-0.03262680367321,2021-06-30
-0.046759091304213,0.4052899749139946,-1.1117094957809084,-0.6360695587272973,-1.2717969967445188,-0.8061856869570243,0.770616902041207,135000000,24000000,372000000,934000000,-165000000,955000000,0.0945291686551961,2021-03-31
-0.279233572859032,0.2933343803834178,-1.106993113309123,-1.1467240990961236,-1.56748651721654,-0.9289446985577992,1.0013594526934142,136000000,-1000000,863000000,866000000,581000000,220000000,0.0060644677167196,2020-12-31
-0.4592411147389709,0.1984273722295931,-1.1022767308373382,-1.3228118716370982,-0.7786793772988347,-1.0186700575008365,2.5242602869979813,137000000,-28000000,321000000,808000000,470000000,214000000,0.1903095424674732,2020-09-30
-0.9881014191115556,-1.7256709492002018,-1.1258586431962638,-1.4742473560223368,-0.3038314693880219,-1.1481321842960897,4.647091752998287,134000000,-20000000,319000000,825000000,-231000000,1495000000,0.1586617166649331,2020-06-30
-1.631929602817802,-1.8558951796034195,-0.4042521250131426,-1.4073340024567662,0.0494652496173735,-1.1028313927203548,-0.5215413816111534,139000000,51000000,541000000,828000000,104000000,1468000000,-0.0915265587425584,2020-03-31
-1.7232833295788994,-1.863279689710111,-0.4184012724284979,-1.199550430858416,-0.8984406282498242,-1.0785599821468976,-0.5215413816111534,227000000,0,-81000000,756000000,-82000000,1683000000,0.0381260010902,2019-12-31
-1.8478822370095636,-1.8739711760819728,-0.1448510890649619,-1.2206809635633329,-0.6203007293310069,-1.1749446450739878,-0.4753928714807119,167000000,12000000,212000000,754000000,22000000,1660000000,0.0,2019-09-30
