M2SL,M1SL,FEDFUNDS,PPIACO,RTWEXBGS,CPIAUCSL,UNRATE,CASH_FLOW_changeInOperatingAssets,BALANCE_SHEET_otherCurrentAssets,UNRATE,CASH_FLOW_operatingCashflow,BALANCE_SHEET_currentDebt,Quarterly_Return,fiscalDateEnding
0.7258992046451876,0.3998479120310202,1.2700636524705695,0.8543725656140209,0.8351039936157432,1.3282526735633993,-0.2446503208285047,-40000000,3076000000,-0.2446503208285047,3571000000,3544000000,0.031236930282404,2024-09-30
0.6561044738334443,0.3912754589941218,1.364391301906272,0.8422929444177094,1.188565304616945,1.3041565078316286,-0.3830958512198291,-296000000,2976000000,-0.3830958512198291,2459000000,5528000000,0.0989378311697057,2024-06-30
0.5861485542669388,0.3845170269182154,1.364391301906272,0.6425389752472279,0.7098083368056521,1.1629967878538603,-0.4753928714807119,-1203000000,2821000000,-0.4753928714807119,689000000,3959000000,-0.012846267032102,2024-03-31
0.5271937672129091,0.3995750062227294,1.364391301906272,0.7793943920660732,0.472754714840818,1.0691969863416344,-0.3830958512198291,92000000,2602000000,-0.3830958512198291,538000000,1443000000,0.0716623699517022,2023-12-31
0.5033378315082021,0.4499502077766368,1.364391301906272,0.7316041705984527,0.8632903728981444,0.936098529081406,-0.5676898917415949,659000000,2565000000,-0.5676898917415949,2760000000,1428000000,0.2105215953234818,2023-09-30
0.5426275904813254,0.492555620435678,1.246481740111644,0.839827715602136,0.4440745595709862,0.8591222323709973,-0.6138384018720363,-4000000,2324000000,-0.6138384018720363,4109000000,2167000000,-0.081613219141835,2023-06-30
0.5737370201503013,0.6379502031232946,1.0436772938248848,0.9567147790148336,0.6668292518998596,0.7538877049387833,-0.5676898917415949,341000000,2395000000,-0.5676898917415949,1064000000,834000000,-0.0795385831682953,2023-03-31
0.7345631002136199,0.732552198903147,0.7842762578767036,1.126956437507448,0.9267200132832824,0.645367336724962,-0.5215413816111534,179000000,2388000000,-0.5215413816111534,2649000000,1591000000,0.1652174878454342,2022-12-31
0.8293017908247093,0.8021913398658146,0.0579533572217976,1.3809806581750586,1.6344655952647411,0.5122250682543132,-0.5676898917415949,335000000,2501000000,-0.5676898917415949,2978000000,1543000000,-0.0735717588604601,2022-09-30
0.8875715256710023,0.8292250681694414,-0.5787582764691915,1.1357256085799892,0.7504419857711584,0.2336733923950209,-0.4753928714807119,248000000,2258000000,-0.4753928714807119,1930000000,817000000,0.0061202368816204,2022-06-30
0.9157392605655804,0.7966047974372742,-1.055112906119487,0.4716281832189576,-0.1095511923342172,-0.0309463185502653,-0.3369473410893877,468000000,2488000000,-0.3369473410893877,2164000000,844000000,0.0748989021295574,2022-03-31
0.8288988189378055,0.7253442749077025,-1.1117094957809084,0.2607454668238865,-0.2522113047022229,-0.2944269380245922,-0.1062047904371804,-26000000,2367000000,-0.1062047904371804,2808000000,87000000,0.0579356109937918,2021-12-31
0.6137118313311613,0.6349482392320961,-1.1117094957809084,-0.042653765264213,-0.9162577117962186,-0.4943374911774646,0.3091318007367926,467000000,2542000000,0.3091318007367926,2418000000,4288000000,-0.1275897686298056,2021-09-30
0.4154496629744778,0.546687290174294,-1.1117094957809084,-0.5339386506535319,-1.322162147462269,-0.7282893548277656,0.6321713716498824,209000000,2423000000,0.6321713716498824,1931000000,4324000000,-0.0203367935703697,2021-06-30
0.1446525549751053,0.4052899749139946,-1.1164258782526937,-0.995288614710885,-1.2717969967445188,-0.9029208395674848,0.770616902041207,181000000,2293000000,0.770616902041207,2104000000,1556000000,0.0821590098298821,2021-03-31
-0.1373068742915035,0.2933343803834178,-1.106993113309123,-1.2875943171289033,-1.56748651721654,-1.0045628477451438,1.0013594526934142,230000000,2079000000,1.0013594526934142,2153000000,91000000,-0.0953730136288054,2020-12-31
-0.3402032193475809,0.1984273722295931,-1.106993113309123,-1.4108557579075856,-0.7786793772988347,-1.090739498644049,2.5242602869979813,-977000000,2265000000,2.5242602869979813,3368000000,91000000,0.077588412636316,2020-09-30
-0.5196466005858553,-1.7256709492002018,-1.1117094957809084,-1.6749874167190475,-0.3038314693880219,-1.192381506821708,4.647091752998287,511000000,2268000000,4.647091752998287,2842000000,91000000,0.1634193537267085,2020-06-30
-1.398487988734414,-1.8558951796034195,-0.8428756948891575,-1.188985164505957,0.0494652496173735,-1.0567858105674588,-0.5215413816111534,749000000,2110000000,-0.5215413816111534,2134000000,1840000000,-0.1590409857378687,2020-03-31
-1.6589287192403586,-1.863279689710111,-0.4184012724284979,-1.2136374526616942,-0.8984406282498242,-1.1431815175184707,-0.5215413816111534,127000000,1888000000,-0.5215413816111534,2514000000,3093000000,0.2457754853365088,2019-12-31
-1.7777248314996068,-1.8739711760819728,-0.1872985313110278,-1.1396805881944851,-0.6203007293310069,-1.2024580852186308,-0.4753928714807119,-71000000,3349000000,-0.4753928714807119,3377000000,2184000000,0.0,2019-09-30
